p,q,r,output
PersonX makes ___ the other day,The ingredients in the blender.,xNeed,1
PersonX gets everything PersonY needed,person x doesn't thank person y.,xEffect,0
PersonX makes ___ the other day,doesn't cringe at noise,xEffect,1
PersonX looks PersonY's way,not Appreciated,oReact,1
PersonX learns how to bake a cake,interested,xAttr,1
PersonX goes ___ after work,Doesn't get relaxed,xEffect,1
PersonX gets the stain,to yell swear words,xWant,1
PersonX practices all day,impressed,oReact,1
PersonX smells something,curious,xReact,1
PersonX doesn't hold PersonY's attention,Don't walk away.,oWant,0
PersonX holds PersonY's attention,to entertain,xIntent,1
PersonX goes ___ after work,don't sleep,xWant,1
PersonX takes PersonY's outside,not Refreshed,oReact,1
PersonX doesn't hold PersonY's attention,not Captivated,oReact,1
PersonX doesn't get the stain,not careless,xAttr,1
PersonX reduces the ___ to levels,to share the good news,xWant,1
PersonX cleans PersonY's bedroom,Nice,xAttr,1
PersonX doesn't create the ___ in days,not talented,xAttr,1
PersonX reduces the ___ to levels,becomes resentful,oEffect,1
PersonX cleans PersonY's bedroom,grateful.,oReact,1
PersonX smells something,to know the real fact of things,xWant,1
PersonX is walking across the street,hard working,xAttr,1
PersonX applies for jobs,don't buy a car,xWant,1
PersonX did not cut swathes,not skillful,xAttr,1
PersonX reduces the ___ to levels,to keep the levels low always,xWant,1
PersonX does not clean PersonY's bedroom,don't be helpful,xIntent,1
PersonX goes ___ after work,To go back home,xWant,1
PersonX holds PersonY's attention,to attention,xWant,1
PersonX does not exchange numbers,don't like someone,xNeed,1
PersonX does not help another ___,Don't call 911,xWant,1
PersonX goes ___ after work,Doesn't meet date,oEffect,1
PersonX practices all day,be the best at something,xWant,1
PersonX does not reduce the ___ to levels,not cunning,xAttr,1
PersonX does not get everything PersonY needed,don't rest,xWant,1
PersonX does not help another ___,not grateful,oReact,1
PersonX does not help another ___,Don't check the results,xWant,0
PersonX is walking across the street,PersonX doesn't obey the traffic signals,xEffect,1
PersonX learns how to bake a cake,don't advertise their new found hobby on social media,xWant,1
PersonX does not get everything PersonY needed,not responsible,xAttr,1
PersonX learns how to bake a cake,Brags about how good it is.,xWant,1
PersonX applies for jobs,gets a new job,xEffect,1
PersonX applies for jobs,to have his own apartment.,xIntent,1
PersonX learns how to bake a cake,to look up a recipe,xNeed,1
PersonX doesn't take PersonY's outside,not eager,xReact,1
PersonX exchanges numbers,happy,xReact,1
PersonX creates the ___ in days,Don't relax,xWant,1
PersonX holds PersonY's attention,Grab a hold of Person Y attention,xNeed,1
PersonX doesn't hold PersonY's attention,not accomplished,xReact,0
PersonX doesn't get the stain,not smeared,xAttr,1
PersonX reduces the ___ to levels,to buy machines of better quality,xNeed,1
PersonX does not look PersonY's way,not interested,xAttr,1
PersonX holds PersonY's attention,ood,xReact,1
PersonX exchanges numbers,to desire more communication,xNeed,1
PersonX does not reduce the ___ to levels,Doesn't become resentful,oEffect,1
PersonX creates the ___ in days,Don't name things,xWant,1
PersonX cleans PersonY's bedroom,put cleaning supplies away,xWant,1
PersonX smells something,curious,xAttr,1
PersonX does not help another ___,not tired,xReact,1
PersonX is not walking across the street,not busy,xAttr,1
PersonX does not help another ___,not helpful,xReact,1
PersonX smells something,escape the flames,xEffect,1
PersonX cleans PersonY's bedroom,industrious,xAttr,1
PersonX does not clean PersonY's bedroom,Don't go to person y room,xNeed,1
PersonX takes PersonY's outside,is afforded privacy,oEffect,1
PersonX cleans PersonY's bedroom,Doesn't get some windex,xEffect,1
PersonX creates the ___ in days,To finish the work,xWant,1
PersonX gets everything PersonY needed,to inform personY,xWant,1
PersonX helps another ___,Doesn't relieve,xEffect,0
PersonX applies for jobs,Doesn't get a new job,xEffect,1
PersonX doesn't take PersonY's outside,don't play baseball,xIntent,1
PersonX does not run for class president,don't feel important,xIntent,0
PersonX does not apply for jobs,Don't go to a job search website,xNeed,1
PersonX is not walking across the street,Don't put on shoes,xNeed,0
PersonX goes ___ after work,active,xAttr,1
PersonX learns how to bake a cake,satiated,oReact,1
PersonX helps another ___,to thank person x,oWant,1
PersonX exchanges numbers,not fair in skin,xEffect,0
PersonX does not get everything PersonY needed,not another joint,xEffect,0
PersonX helps another ___,Don't check the results,xWant,0
PersonX holds PersonY's attention,walk away.,oWant,0
PersonX makes ___ the other day,helpful,xAttr,1
PersonX takes PersonY's outside,don't return something,xWant,1
PersonX does not go ___ after work,Doesn't become nervous,xEffect,1
PersonX learns how to bake a cake,Creative,xAttr,1
PersonX holds PersonY's attention,improves communication skills,xEffect,1
PersonX practices all day,Don't be the best at something,xWant,0
PersonX creates the ___ in days,diligent,xAttr,1
PersonX cleans PersonY's bedroom,to rest,xWant,1
PersonX cuts swathes,crafty,xAttr,1
PersonX takes PersonY's outside,not exhausted,xReact,1
PersonX doesn't create the ___ in days,Don't decide what to create,xNeed,0
PersonX exchanges numbers,to call each other,xIntent,1
PersonX cuts swathes,don't make something,xWant,1
PersonX smells something,Grossed out,xAttr,1
PersonX cleans PersonY's bedroom,happy,oReact,1
PersonX does not go ___ after work,don't relax a bit,xIntent,1
PersonX does not reduce the ___ to levels,don't praise him,oWant,1
PersonX does not help another ___,Don't devise a problem solution,xNeed,1
PersonX gets everything PersonY needed,don't get some rest,xWant,1
PersonX holds PersonY's attention,Don't get A NEW THING,oEffect,1
PersonX does not clean PersonY's bedroom,doesn't get thanked,xEffect,1
PersonX does not help another ___,Doesn't run over,xNeed,0
PersonX gets everything PersonY needed,to talk to personY,xNeed,1
PersonX does not clean PersonY's bedroom,Don't thank person x,oWant,0
PersonX cleans PersonY's bedroom,not to be paid,xWant,0
PersonX exchanges numbers,don't keep in touch,xWant,0
PersonX takes PersonY's outside,motivated,xAttr,1
PersonX does not help another ___,Don't write it up,xWant,0
PersonX learns how to bake a cake,Gets warm when near oven,xEffect,1
PersonX practices all day,has tired hands,xEffect,1
PersonX does not get everything PersonY needed,not helpful,xAttr,0
PersonX gets everything PersonY needed,helpful,xAttr,1
PersonX exchanges numbers,to store the phone number,xWant,1
PersonX exchanges numbers,don't make money of someone,xWant,1
PersonX runs for class president,not happy,xReact,1
PersonX learns how to bake a cake,not satiated,oReact,1
PersonX helps another ___,don't be kind,xWant,0
PersonX is walking across the street,leave the house,xNeed,1
PersonX gets everything PersonY needed,to thank personX,oWant,1
PersonX doesn't hold PersonY's attention,don't get feedback.,xWant,1
PersonX does not help another ___,Don't offer help,xNeed,1
PersonX doesn't take PersonY's outside,not concerned,xReact,1
PersonX gets everything PersonY needed,responsible,xAttr,1
PersonX does not look PersonY's way,not curious,xReact,0
PersonX didn't make ___ the other day,don't get drunk,xNeed,0
PersonX runs for class president,wait for votes,xWant,1
PersonX doesn't hold PersonY's attention,Don't learn something new,oEffect,1
PersonX learns how to bake a cake,to mix batter,xWant,1
PersonX didn't make ___ the other day,doesn't cringe at noise,xEffect,1
PersonX learns how to bake a cake,to spend the day with their mother,xNeed,1
PersonX does not exchange numbers,don't call someone,xWant,1
PersonX does not exchange numbers,don't call each other,xIntent,1
PersonX reduces the ___ to levels,Doesn't become inspired,oEffect,0
PersonX learns how to bake a cake,to heat the oven,xWant,1
PersonX is walking across the street,not neutral.,xReact,1
PersonX practices all day,eager,xAttr,1
PersonX learns how to bake a cake,curious,xAttr,1
PersonX takes PersonY's outside,Person Y follows them.,xEffect,1
PersonX gets the stain,to trip,xNeed,1
PersonX does not exchange numbers,don't find out more,oWant,1
PersonX takes PersonY's outside,creates privacy,xEffect,1
PersonX looks PersonY's way,Doesn't catch Person Y's stare,xEffect,1
PersonX doesn't practice all day,not ready,xReact,1
PersonX does not apply for jobs,not confident,xAttr,1
PersonX does not go ___ after work,not enthusiastic,xAttr,1
PersonX does not help another ___,don't help,xIntent,1
PersonX helps another ___,talks to help.,xEffect,1
PersonX holds PersonY's attention,not ood,xReact,1
PersonX practices all day,Doesn't sleep like a baby,xEffect,1
PersonX takes PersonY's outside,to tell PersonX they don't like being outside,oWant,1
PersonX doesn't practice all day,Don't be the best at something,xWant,1
PersonX smells something,nose sensor works,xEffect,1
PersonX takes PersonY's outside,exhausted,xReact,1
PersonX doesn't hold PersonY's attention,not to be noticed,xIntent,1
PersonX does not apply for jobs,not graduate,xAttr,1
PersonX cleans PersonY's bedroom,Doesn't get tired out,xEffect,0
PersonX helps another ___,tired,xReact,1
PersonX holds PersonY's attention,not attentive,oReact,0
PersonX does not apply for jobs,not weary,xReact,0
PersonX cleans PersonY's bedroom,gather cleaning supplies,xNeed,1
PersonX didn't make ___ the other day,don't enjoy it.,xIntent,0
PersonX makes ___ the other day,assertive,xAttr,1
PersonX applies for jobs,don't make money,xWant,0
PersonX helps another ___,generous,xAttr,1
PersonX did not cut swathes,Doesn't get a manicured lawn,xEffect,1
PersonX takes PersonY's outside,not fun,xReact,0
PersonX holds PersonY's attention,don't know he has been heard.,xWant,1
PersonX learns how to bake a cake,She doesn't take it to their birthday.,xWant,1
PersonX helps another ___,Get work done,oWant,1
PersonX does not clean PersonY's bedroom,not helpful,xReact,0
PersonX does not run for class president,not proud,oReact,1
PersonX didn't learn how to bake a cake,not ambitious,xAttr,1
PersonX takes PersonY's outside,to play with PersonX,oWant,1
PersonX does not apply for jobs,don't get a resume ready.,xNeed,1
PersonX smells something,don't know the real fact of things,xWant,1
PersonX cleans PersonY's bedroom,say thank you,oWant,1
PersonX smells something,be near a smell,xNeed,1
PersonX holds PersonY's attention,Doesn't teach something,xEffect,1
PersonX looks PersonY's way,don't say hello,xWant,1
PersonX doesn't take PersonY's outside,don't be at PersonY's,xNeed,0
PersonX does not apply for jobs,not impecunious,xAttr,1
PersonX cuts swathes,to have clean backyard,xIntent,1
PersonX is not walking across the street,PersonX doesn't stay in the crosswalk,xEffect,0
PersonX doesn't hold PersonY's attention,not fascinating,xAttr,1
PersonX reduces the ___ to levels,cunning,xAttr,1
PersonX gets everything PersonY needed,happy,xReact,1
PersonX cuts swathes,helpful,xReact,1
PersonX does not reduce the ___ to levels,not happy about his success,xReact,0
PersonX gets the stain,slightly upset,xReact,1
PersonX cleans PersonY's bedroom,makes the bed,xEffect,1
PersonX goes ___ after work,gets complimented on looks,xEffect,1
PersonX takes PersonY's outside,gentle,xAttr,1
PersonX makes ___ the other day,to have something for themselves,xIntent,1
PersonX applies for jobs,don't go to work,xWant,0
PersonX does not run for class president,Don't make poster,xWant,0
PersonX applies for jobs,rejected,xReact,1
PersonX does not get everything PersonY needed,not taken care of,oReact,1
PersonX doesn't practice all day,Don't win a game,xWant,0
PersonX does not reduce the ___ to levels,Doesn't become inspired,oEffect,1
PersonX doesn't practice all day,not prepared,xReact,1
PersonX does not look PersonY's way,don't observe PersonX,oWant,0
PersonX smells something,Sick,xAttr,1
PersonX does not apply for jobs,Don't have an interview with PersonX,oWant,1
PersonX gets the stain,Doesn't look dirty,xEffect,0
PersonX didn't make ___ the other day,Doesn't pour it in her cup.,xNeed,1
PersonX learns how to bake a cake,Don't make a mess in the kitchen,xEffect,1
PersonX practices all day,Notices improvement in X,oEffect,1
PersonX helps another ___,helpful,xAttr,1
PersonX doesn't get the stain,not flawed,xAttr,1
PersonX makes ___ the other day,Tell her how to make it.,xWant,1
PersonX gets everything PersonY needed,to enjoy the things,oWant,1
PersonX makes ___ the other day,not Thanked,xEffect,1
PersonX cleans PersonY's bedroom,don't clean other areas of the house,xWant,1
PersonX creates the ___ in days,take notes,xWant,1
PersonX runs for class president,political,xAttr,1
PersonX does not exchange numbers,not warm,xAttr,1
PersonX cleans PersonY's bedroom,chill out,xWant,1
PersonX goes ___ after work,Doesn't become nervous,oEffect,1
PersonX doesn't practice all day,Don't take the ball,xNeed,1
PersonX runs for class president,Voters don't allow PersonX to be elected,oEffect,1
PersonX goes ___ after work,hard-working,xAttr,1
PersonX takes PersonY's outside,to return something,xWant,1
PersonX doesn't hold PersonY's attention,not interested,oReact,1
PersonX applies for jobs,weary,xReact,1
PersonX does not go ___ after work,not fun,xAttr,1
PersonX didn't make ___ the other day,not happy,xReact,1
PersonX helps another ___,devise a problem solution,xNeed,1
PersonX doesn't take PersonY's outside,not excited,oReact,1
PersonX cleans PersonY's bedroom,good.,xReact,1
PersonX cuts swathes,happy,xReact,1
PersonX gets the stain,to fall,xNeed,1
PersonX is walking across the street,Like there aren't closer to where they are going,xReact,1
PersonX gets everything PersonY needed,tired,xReact,1
PersonX doesn't get the stain,Doesn't look dirty,xEffect,1
PersonX doesn't hold PersonY's attention,not attentive,oReact,1
PersonX does not exchange numbers,don't get to know more about someone,xWant,1
PersonX holds PersonY's attention,acknowledged,xReact,1
PersonX gets everything PersonY needed,appreciated,xReact,1
PersonX cuts swathes,skillful,xAttr,1
PersonX cleans PersonY's bedroom,take a nap,oWant,1
PersonX does not go ___ after work,not relaxed,xReact,1
PersonX smells something,not interested,xReact,1
PersonX helps another ___,Don't write it up,xWant,1
PersonX doesn't smell something,Don't escape the flames,xEffect,0
PersonX didn't make ___ the other day,Don't give her the ingredients.,xWant,1
PersonX applies for jobs,pessimistic,xReact,1
PersonX makes ___ the other day,Don't tell her how to make it.,xWant,1
PersonX did not finally get up,not obligated,xReact,1
PersonX helps another ___,don't ask if she is okay,xWant,0
PersonX takes PersonY's outside,to chide PersonX,oWant,1
PersonX does not clean PersonY's bedroom,not Loyal,xAttr,0
PersonX applies for jobs,hopeful,xAttr,1
PersonX does not clean PersonY's bedroom,don't reciprocate,oWant,0
PersonX does not help another ___,Don't get what they need.,oEffect,1
PersonX does not help another ___,not assists,xEffect,1
PersonX learns how to bake a cake,not like a chef,xReact,1
PersonX holds PersonY's attention,don't get feedback.,xWant,0
PersonX gets everything PersonY needed,not overwhelmed,oReact,1
PersonX smells something,attentive,xAttr,1
PersonX does not go ___ after work,don't have some fun,xIntent,1
PersonX takes PersonY's outside,don't mow the yard,xWant,1
PersonX doesn't smell something,not Sick,xAttr,1
PersonX did not finally get up,not rested,xAttr,1
PersonX doesn't get the stain,not slightly upset,xReact,1
PersonX practices all day,win a game,xWant,1
PersonX does not exchange numbers,not Informed,xReact,0
PersonX applies for jobs,to decide where to apply.,xNeed,1
PersonX goes ___ after work,to get another job,xWant,1
PersonX creates the ___ in days,Doesn't become tired,xEffect,1
PersonX looks PersonY's way,to notice PersonY,xNeed,1
PersonX gets the stain,to clean up the stain,xWant,1
PersonX does not apply for jobs,not hardworking,xAttr,1
PersonX does not help another ___,don't see how to help,xNeed,1
PersonX does not look PersonY's way,not Aroused,xAttr,1
PersonX doesn't create the ___ in days,don't have it ready,xIntent,1
PersonX helps another ___,not supportive,xReact,0
PersonX runs for class president,caters to the public,xEffect,1
PersonX reduces the ___ to levels,not happy to get their problem solved.,oReact,0
PersonX applies for jobs,to obtain employment,xWant,1
PersonX doesn't create the ___ in days,Doesn't become tired,xEffect,1
PersonX does not exchange numbers,not wild,xAttr,0
PersonX didn't make ___ the other day,The ingredients not in the blender.,xNeed,1
PersonX did not finally get up,Doesn't go walking,xEffect,1
PersonX doesn't create the ___ in days,don't finish the work,xWant,1
PersonX exchanges numbers,curious,xAttr,1
PersonX does not run for class president,Don't make speech,xWant,0
PersonX does not run for class president,doesn't cater to the public,xEffect,1
PersonX cleans PersonY's bedroom,Doesn't make the bed,xEffect,1
PersonX cuts swathes,to have clear land,xIntent,1
PersonX runs for class president,Don't make speech,xWant,0
PersonX doesn't practice all day,not eager,xAttr,1
PersonX creates the ___ in days,Name things,xWant,1
PersonX doesn't hold PersonY's attention,not captivating,xAttr,1
PersonX doesn't take PersonY's outside,Doesn't get fresh air,xEffect,1
PersonX does not apply for jobs,She doesn't get a job as manager.,xEffect,1
PersonX practices all day,Don't win the contest,xWant,0
PersonX holds PersonY's attention,Doesn't improve communication skills,xEffect,0
PersonX makes ___ the other day,don't shout and yell,xWant,0
PersonX takes PersonY's outside,Doesn't get fresh air,oEffect,0
PersonX smells something,inquisitive,xAttr,1
PersonX applies for jobs,to prepare resume or CV,xNeed,1
PersonX cuts swathes,Doesn't get a manicured lawn,xEffect,0
PersonX is not walking across the street,not hard working,xAttr,1
PersonX gets everything PersonY needed,not another joint,xEffect,0
PersonX does not help another ___,not happy,oReact,1
PersonX doesn't smell something,don't thank PersonX for turning off the oven.,oWant,0
PersonX finally got up,Was not written up in the job.,xEffect,1
PersonX holds PersonY's attention,TO AVODI IT,oEffect,0
PersonX does not apply for jobs,don't obtain employment,xWant,1
PersonX did not cut swathes,Don't clean up mess,xWant,1
PersonX does not reduce the ___ to levels,don't teach everyone the benefit of low levels,xWant,0
PersonX does not clean PersonY's bedroom,Doesn't feel indebted,oEffect,0
PersonX exchanges numbers,not happy,xReact,0
PersonX looks PersonY's way,to spot PersonY,xNeed,1
PersonX takes PersonY's outside,to help y get air,xIntent,1
PersonX gets everything PersonY needed,to go shopping,xNeed,1
PersonX didn't make ___ the other day,not Ignored,xEffect,0
PersonX doesn't hold PersonY's attention,Don't get A NEW THING,oEffect,1
PersonX does not reduce the ___ to levels,not skillful,xAttr,1
PersonX does not help another ___,doesn't talk to help.,xEffect,1
PersonX doesn't practice all day,don't go to the park,xNeed,1
PersonX does not run for class president,not happy,xReact,0
PersonX cleans PersonY's bedroom,happy to be helpful,xReact,1
PersonX helps another ___,supportive,xReact,1
PersonX cleans PersonY's bedroom,looks for their items,oEffect,1
PersonX doesn't take PersonY's outside,don't play with PersonX,oWant,0
PersonX gets the stain,ironing clothes,xEffect,1
PersonX doesn't take PersonY's outside,not Caring,xAttr,0
PersonX holds PersonY's attention,don't attract him,xWant,0
PersonX doesn't create the ___ in days,Don't take notes,xWant,1
PersonX gets everything PersonY needed,not loved,oReact,0
PersonX does not clean PersonY's bedroom,Don't take a nap,xWant,0
PersonX practices all day,doesn't notice improvement in X,oEffect,1
PersonX does not look PersonY's way,Realizes it isn't Person X,oEffect,1
PersonX makes ___ the other day,don't wash dishes,xWant,1
PersonX did not finally get up,not lazy,xAttr,0
PersonX cuts swathes,to avoid PersonX,oWant,0
PersonX does not reduce the ___ to levels,Isn't approved of,xEffect,1
PersonX creates the ___ in days,dominant,xAttr,1
PersonX does not help another ___,Don't analyze the problem,xNeed,1
PersonX exchanges numbers,to be social,xWant,1
PersonX doesn't practice all day,don't put on a good performance,xIntent,1
PersonX holds PersonY's attention,not amused,oReact,0
PersonX runs for class president,doesn't sweat while speaking,xEffect,1
PersonX gets the stain,not ironing clothes,xEffect,0
PersonX does not look PersonY's way,Doesn't catch Person Y's stare,xEffect,0
PersonX does not go ___ after work,Doesn't meet date,oEffect,1
PersonX doesn't take PersonY's outside,not fun,oReact,1
PersonX exchanges numbers,a girlfriend,xIntent,1
PersonX doesn't practice all day,not astonished,oReact,1
PersonX doesn't practice all day,not exhausted,xReact,1
PersonX goes ___ after work,to go to work,xNeed,1
PersonX learns how to bake a cake,make a mess in the kitchen,xEffect,1
PersonX does not reduce the ___ to levels,don't make a plan,xNeed,1
PersonX doesn't practice all day,Don't win the contest,xWant,1
PersonX goes ___ after work,to relax a bit,xIntent,1
PersonX is walking across the street,don't go to the grocery store,xWant,1
PersonX runs for class president,Voters think about PersonX,oEffect,1
PersonX didn't learn how to bake a cake,not Sweet tooth,xAttr,1
PersonX did not cut swathes,don't make something,xWant,1
PersonX helps another ___,Go to store,xNeed,1
PersonX applies for jobs,to get a better life,xIntent,1
PersonX applies for jobs,hire PersonX,oWant,1
PersonX is not walking across the street,Don't buy groceries,xWant,0
PersonX helps another ___,to be kind,xWant,1
PersonX finally got up,rested,xAttr,1
PersonX does not help another ___,Doesn't relieve,xEffect,1
PersonX exchanges numbers,to get to know more about someone,xWant,1
PersonX takes PersonY's outside,not fun,oReact,1
PersonX did not finally get up,not engaged,xAttr,0
PersonX looks PersonY's way,to observe PersonX,oWant,1
PersonX runs for class president,Don't wait for votes,xWant,0
PersonX goes ___ after work,Like it isn't a good way to relax,xReact,0
PersonX smells something,report the fire,xEffect,1
PersonX does not apply for jobs,don't hire PersonX,oWant,1
PersonX doesn't practice all day,don't be good at it,xIntent,1
PersonX gets everything PersonY needed,helpful and useful,xReact,1
PersonX did not cut swathes,not satisfied,xReact,0
PersonX creates the ___ in days,no effect,xEffect,1
PersonX learns how to bake a cake,to advertise their new found hobby on social media,xWant,1
PersonX takes PersonY's outside,energetic,xAttr,1
PersonX does not help another ___,Don't learn new information.,oEffect,0
PersonX goes ___ after work,to have some fun,xIntent,1
PersonX learns how to bake a cake,Doesn't brag about how good it is.,xWant,1
PersonX doesn't take PersonY's outside,not gentle,xAttr,0
PersonX makes ___ the other day,to get drunk,xNeed,0
PersonX smells something,not intrigued,xReact,1
PersonX helps another ___,doesn't talk to help.,xEffect,0
PersonX does not go ___ after work,Doesn't get energetic,xEffect,0
PersonX does not go ___ after work,don't walk there,xNeed,1
PersonX gets the stain,looks dirty,xEffect,1
PersonX gets everything PersonY needed,to ask PersonY what is needed,xNeed,1
PersonX does not run for class president,don't make a difference in their classroom,xIntent,1
PersonX does not apply for jobs,don't afford food and rent,xIntent,0
PersonX reduces the ___ to levels,don't save the earth,xWant,0
PersonX is walking across the street,to go to the grocery store,xWant,1
PersonX does not get everything PersonY needed,not capable,xAttr,1
PersonX creates the ___ in days,to have it ready,xIntent,1
PersonX exchanges numbers,to call someone,xWant,1
PersonX practices all day,Doesn't get tired of doing it and stops altogether,xEffect,1
PersonX is not walking across the street,doesn't sweat,xEffect,1
PersonX doesn't create the ___ in days,not sleep,xWant,1
PersonX does not apply for jobs,not eager,xAttr,1
PersonX doesn't hold PersonY's attention,Doesn't improve communication skills,xEffect,1
PersonX holds PersonY's attention,to know he has been heard.,xWant,1
PersonX exchanges numbers,not Informed,xReact,0
PersonX does not get everything PersonY needed,Person x doesn't use everything,xEffect,1
PersonX helps another ___,not interested,xReact,0
PersonX does not reduce the ___ to levels,don't make an accomplishment,xIntent,0
PersonX applies for jobs,hardworking,xAttr,1
PersonX exchanges numbers,to know more about personx,oWant,1
PersonX looks PersonY's way,not curious,xReact,1
PersonX applies for jobs,to gain financial security,xWant,1
PersonX does not reduce the ___ to levels,don't know the minimum levels,xNeed,1
PersonX doesn't take PersonY's outside,don't spend time together,xIntent,0
PersonX exchanges numbers,informed,xReact,1
PersonX cleans PersonY's bedroom,not good about themselves,xReact,0
PersonX goes ___ after work,Gets energetic,xEffect,1
PersonX didn't learn how to bake a cake,She doesn't put a cooking channel on.,xNeed,1
PersonX does not get everything PersonY needed,don't inform personY,xWant,0
PersonX reduces the ___ to levels,is commended for his efforts,xEffect,1
PersonX doesn't take PersonY's outside,not Refreshed,oReact,1
PersonX smells something,Don't escape the flames,xEffect,1
PersonX goes ___ after work,not good,xReact,1
PersonX did not finally get up,not ambitious,xAttr,1
PersonX helps another ___,sympathetic,xAttr,1
PersonX cuts swathes,violent,xAttr,0
PersonX holds PersonY's attention,not acknowledged,xReact,0
PersonX goes ___ after work,Doesn't become nervous,xEffect,1
PersonX doesn't hold PersonY's attention,Doesn't teach something,xEffect,1
PersonX gets everything PersonY needed,don't give things to PersonY,xWant,0
PersonX does not run for class president,not lobbying,xAttr,1
PersonX cleans PersonY's bedroom,to have a clean room,oWant,1
PersonX does not get everything PersonY needed,don't give things to PersonY,xWant,1
PersonX cuts swathes,gets a manicured lawn,xEffect,1
PersonX does not exchange numbers,not happy,xReact,0
PersonX helps another ___,not assists,xEffect,0
PersonX runs for class president,Make slogan,xNeed,1
PersonX goes ___ after work,relaxed,xReact,1
PersonX gets everything PersonY needed,not helpful and useful,xReact,0
PersonX looks PersonY's way,to look away,oWant,1
PersonX practices all day,determined,xAttr,1
PersonX helps another ___,analyze the problem,xNeed,1
PersonX gets everything PersonY needed,to accept the items,oWant,1
PersonX is walking across the street,busy,xAttr,1
PersonX exchanges numbers,not eager,xReact,0
PersonX cleans PersonY's bedroom,good about themselves,xReact,1
PersonX doesn't practice all day,Doesn't have tired hands,xEffect,1
PersonX does not get everything PersonY needed,not tired,xReact,1
PersonX does not run for class president,Don't wait for votes,xWant,0
PersonX helps another ___,not aids,xEffect,0
PersonX didn't learn how to bake a cake,not curious,xAttr,1
PersonX does not reduce the ___ to levels,don't buy machines of better quality,xNeed,1
PersonX is walking across the street,buy groceries,xWant,1
PersonX does not run for class president,Voters don't think about PersonX,oEffect,0
PersonX exchanges numbers,someone to interact with,xNeed,1
PersonX makes ___ the other day,happy,xReact,1
PersonX practices all day,to win the competition,xWant,1
PersonX learns how to bake a cake,Doesn't use energy to utilize oven,xEffect,0
PersonX holds PersonY's attention,to be noticed,xIntent,1
PersonX cuts swathes,not helpful,xReact,0
PersonX cuts swathes,to gain power,xWant,0
PersonX gets everything PersonY needed,generous,xAttr,1
PersonX cleans PersonY's bedroom,not Happy to be helpful,xReact,0
PersonX exchanges numbers,not breathing,xEffect,0
PersonX is walking across the street,to look both ways,xNeed,1
PersonX learns how to bake a cake,to eat,xIntent,1
PersonX holds PersonY's attention,don't work on communication skills,oEffect,1
PersonX did not cut swathes,don't avoid PersonX,oWant,0
PersonX goes ___ after work,busy,xAttr,1
PersonX does not get everything PersonY needed,not happy,xReact,1
PersonX does not reduce the ___ to levels,don't share the good news,xWant,0
PersonX does not clean PersonY's bedroom,Don't gather cleaning supplies,xNeed,1
PersonX applies for jobs,encouraged.,xReact,1
PersonX doesn't hold PersonY's attention,not amused,oReact,1
PersonX learns how to bake a cake,accomplished,xReact,1
PersonX does not run for class president,Don't make slogan,xNeed,0
PersonX takes PersonY's outside,Isn't afforded privacy,oEffect,0
PersonX does not exchange numbers,not sociable,xAttr,1
PersonX gets the stain,don't yell swear words,xWant,1
PersonX does not go ___ after work,not busy,xAttr,1
PersonX doesn't practice all day,Doesn't learn something new,xEffect,1
PersonX does not apply for jobs,don't gain financial security,xWant,1
PersonX does not apply for jobs,don't prepare resume or CV,xNeed,1
PersonX does not get everything PersonY needed,don't enjoy the things,oWant,1
PersonX helps another ___,happy,oReact,1
PersonX reduces the ___ to levels,make sacrifices,xNeed,1
PersonX applies for jobs,desperate,xAttr,1
PersonX runs for class president,see who wins,xWant,1
PersonX gets everything PersonY needed,Person x doesn't use everything,xEffect,1
PersonX does not apply for jobs,not desperate,xAttr,1
PersonX applies for jobs,to go to work,xWant,1
PersonX cleans PersonY's bedroom,thanks X,oEffect,1
PersonX runs for class president,excited,xReact,1
PersonX makes ___ the other day,Becomes his friend.,oWant,1
PersonX applies for jobs,to afford food and rent,xIntent,1
PersonX practices all day,ready,xReact,1
PersonX runs for class president,is supported by his friends,xEffect,1
PersonX does not run for class president,Isn't despised by hs enemies,xEffect,0
PersonX applies for jobs,not pessimistic,xReact,1
PersonX applies for jobs,impecunious,xAttr,1
PersonX goes ___ after work,to get stuff done,xIntent,1
PersonX applies for jobs,confident,xAttr,1
PersonX gets everything PersonY needed,person x thanks person y,xEffect,0
PersonX creates the ___ in days,Doesn't fall asleep,xEffect,1
PersonX does not run for class president,Don't announce campaign,xNeed,0
PersonX doesn't smell something,not attentive,xAttr,1
PersonX looks PersonY's way,Interested,xAttr,1
PersonX gets the stain,is mocked by others,xEffect,1
PersonX does not look PersonY's way,don't look for PersonY,xNeed,0
PersonX does not reduce the ___ to levels,not smart,xAttr,1
PersonX applies for jobs,She doesn't make $1 million/year.,xEffect,1
PersonX is not walking across the street,doesn't get hit by a car,xEffect,1
PersonX helps another ___,Don't call 911,xWant,1
PersonX finally got up,ambitious,xAttr,1
PersonX does not look PersonY's way,not Appreciated,oReact,0
PersonX is walking across the street,Doesn't get a ticket for jwalking,xEffect,1
PersonX didn't make ___ the other day,don't go to the store,xNeed,1
PersonX gets everything PersonY needed,to be thoughtful,xIntent,1
PersonX helps another ___,to aid everyone,xIntent,1
PersonX exchanges numbers,happy,oReact,1
PersonX smells something,Don't report the fire,xEffect,1
PersonX does not look PersonY's way,not looking,xAttr,1
PersonX does not apply for jobs,doesn't get rejected from a job.,xEffect,0
